epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1245.47,1.35828,2.93294,3.43568,1.32771,0.54298,0.1407,0.11894,0.07655,0.54518,0.1367,0.11207,0.0638,1.48545,3.01731,2.49553,1.37151,0.000174733,0.000174733,0.000174733
2,3040.04,1.48055,3.0374,2.44755,1.42857,0.38829,0.30255,0.22419,0.14716,0.37238,0.29026,0.2097,0.12256,1.46594,3.07364,2.21777,1.40358,0.00031541,0.00031541,0.00031541
3,4445.46,1.48877,3.05921,2.23645,1.4386,0.40505,0.2986,0.27241,0.1737,0.38603,0.28569,0.25212,0.14949,1.49021,3.1136,2.1173,1.41582,0.00042137,0.00042137,0.00042137
4,6995.18,1.46606,3.02259,2.13766,1.43106,0.44286,0.32506,0.29213,0.19459,0.43906,0.31904,0.27858,0.16216,1.48882,3.09283,2.07655,1.41227,0.000369778,0.000369778,0.000369778
5,8353.39,1.41825,2.96335,1.98636,1.39498,0.48058,0.33728,0.32489,0.19778,0.48929,0.31136,0.30165,0.16935,1.47816,3.04128,1.94823,1.39515,0.000317704,0.000317704,0.000317704
6,9623.51,1.39067,2.89004,1.88,1.36137,0.47919,0.38048,0.35915,0.23334,0.45803,0.36441,0.33295,0.19755,1.44426,2.99081,1.88345,1.36968,0.00026563,0.00026563,0.00026563
7,10961.9,1.34464,2.83373,1.80276,1.33906,0.60313,0.35634,0.38269,0.2426,0.59336,0.34116,0.35135,0.20432,1.41827,2.94659,1.80623,1.34216,0.000213556,0.000213556,0.000213556
8,12524.1,1.31214,2.75783,1.7069,1.31638,0.52482,0.42777,0.40729,0.27141,0.51315,0.41263,0.37699,0.22587,1.38462,2.89901,1.7566,1.32644,0.000161482,0.000161482,0.000161482
9,14204.6,1.27676,2.70302,1.63939,1.28518,0.58364,0.40392,0.41565,0.27133,0.57211,0.38613,0.38212,0.22517,1.37662,2.87298,1.74129,1.31543,0.000109408,0.000109408,0.000109408
10,15480.1,1.24517,2.64503,1.57775,1.27049,0.56582,0.43091,0.43261,0.28455,0.55139,0.41791,0.39545,0.24228,1.35146,2.84894,1.67677,1.30046,5.7334e-05,5.7334e-05,5.7334e-05
